,ACROSS: Accuracy on target (Recall),ACROSS: Additional found,ACROSS: F1,Mean Recall,Median Recall,Best Recall,Mean F1,Median F1,Best F1
CHN 1992 - 1995,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN 2011 - 2020,0.4444444444444444,23,0.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.25,0.25,0.25
CRI 1949 - 2015,0.3829787234042553,222,0.1338289962825279,0.3829787234042553,0.3829787234042553,0.3829787234042553,0.1338289962825279,0.1338289962825279,0.1338289962825279
BWA 1990 - 2006,0.4117647058823529,400,0.03357314148681055,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.03357314148681055,0.03357314148681055,0.03357314148681055
USA 2004 - 2004,1.0,27,0.07142857142857142,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
USA 2004 - 2011,0.875,273,0.0498220640569395,0.875,0.875,0.875,0.0498220640569395,0.0498220640569395,0.0498220640569395
IND 2000 - 2015,1.0,567,0.0548885077186964,1.0,1.0,1.0,0.0548885077186964,0.0548885077186964,0.0548885077186964
BRA 1995 - 2006,0.3333333333333333,379,0.020460358056265986,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.020460358056265986,0.020460358056265986,0.020460358056265986
MEX 1948 - 2008,0.46153846153846156,1777,0.019823788546255508,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.019823788546255508,0.019823788546255508,0.019823788546255508
HUN 2010 - 2023,0.9,62,0.25,0.9,0.9,0.9,0.25,0.25,0.25
SGP 1965 - 2005,0.4444444444444444,1142,0.027164685908319188,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.027164685908319188,0.027164685908319188,0.027164685908319188
TZA 1992 - 2020,0.6785714285714286,809,0.04540023894862604,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.04540023894862604,0.04540023894862604,0.04540023894862604
COL 2000 - 2016,0.058823529411764705,462,0.0041753653444676405,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0041753653444676405,0.0041753653444676405,0.0041753653444676405
NOR 1970 - 2013,0.5,1175,0.03609515996718622,0.5,0.5,0.5,0.03609515996718622,0.03609515996718622,0.03609515996718622
